route_no,departure_time,source,destination
VZ001,05:00,Railway Station,Jagadamba
VZ001,06:00,Railway Station,Jagadamba
VZ001,07:00,Railway Station,Jagadamba
VZ001,08:00,Railway Station,Jagadamba
VZ001,09:00,Railway Station,Jagadamba
VZ001,10:00,Railway Station,Jagadamba
VZ001,11:00,Railway Station,Jagadamba
VZ001,12:00,Railway Station,Jagadamba
VZ001,13:00,Railway Station,Jagadamba
VZ001,14:00,Railway Station,Jagadamba
VZ001,15:00,Railway Station,Jagadamba
VZ001,16:00,Railway Station,Jagadamba
VZ001,17:00,Railway Station,Jagadamba
VZ001,18:00,Railway Station,Jagadamba
VZ001,19:00,Railway Station,Jagadamba
VZ001,20:00,Railway Station,Jagadamba
VZ001,21:00,Railway Station,Jagadamba
VZ001,22:00,Railway Station,Jagadamba
VZ002,05:00,Old Post Office,PM Palem
VZ002,06:00,Old Post Office,PM Palem
VZ002,07:00,Old Post Office,PM Palem
VZ002,08:00,Old Post Office,PM Palem
VZ002,09:00,Old Post Office,PM Palem
VZ002,10:00,Old Post Office,PM Palem
VZ002,11:00,Old Post Office,PM Palem
VZ002,12:00,Old Post Office,PM Palem
VZ002,13:00,Old Post Office,PM Palem
VZ002,14:00,Old Post Office,PM Palem
VZ002,15:00,Old Post Office,PM Palem
VZ002,16:00,Old Post Office,PM Palem
VZ002,17:00,Old Post Office,PM Palem
VZ002,18:00,Old Post Office,PM Palem
VZ002,19:00,Old Post Office,PM Palem
VZ002,20:00,Old Post Office,PM Palem
VZ002,21:00,Old Post Office,PM Palem
VZ002,22:00,Old Post Office,PM Palem
VZ003,05:00,Jagadamba,Bheemili
VZ003,06:00,Jagadamba,Bheemili
VZ003,07:00,Jagadamba,Bheemili
VZ003,08:00,Jagadamba,Bheemili
VZ003,09:00,Jagadamba,Bheemili
VZ003,10:00,Jagadamba,Bheemili
VZ003,11:00,Jagadamba,Bheemili
VZ003,12:00,Jagadamba,Bheemili
VZ003,13:00,Jagadamba,Bheemili
VZ003,14:00,Jagadamba,Bheemili
VZ003,15:00,Jagadamba,Bheemili
VZ003,16:00,Jagadamba,Bheemili
VZ003,17:00,Jagadamba,Bheemili
VZ003,18:00,Jagadamba,Bheemili
VZ003,19:00,Jagadamba,Bheemili
VZ003,20:00,Jagadamba,Bheemili
VZ003,21:00,Jagadamba,Bheemili
VZ003,22:00,Jagadamba,Bheemili
VZ004,05:00,Maddilapalem,Simhachalam
VZ004,06:00,Maddilapalem,Simhachalam
VZ004,07:00,Maddilapalem,Simhachalam
VZ004,08:00,Maddilapalem,Simhachalam
VZ004,09:00,Maddilapalem,Simhachalam
VZ004,10:00,Maddilapalem,Simhachalam
VZ004,11:00,Maddilapalem,Simhachalam
VZ004,12:00,Maddilapalem,Simhachalam
VZ004,13:00,Maddilapalem,Simhachalam
VZ004,14:00,Maddilapalem,Simhachalam
VZ004,15:00,Maddilapalem,Simhachalam
VZ004,16:00,Maddilapalem,Simhachalam
VZ004,17:00,Maddilapalem,Simhachalam
VZ004,18:00,Maddilapalem,Simhachalam
VZ004,19:00,Maddilapalem,Simhachalam
VZ004,20:00,Maddilapalem,Simhachalam
VZ004,21:00,Maddilapalem,Simhachalam
VZ004,22:00,Maddilapalem,Simhachalam
VZ005,05:00,MVP Colony,Kancharapalem
VZ005,06:00,MVP Colony,Kancharapalem
VZ005,07:00,MVP Colony,Kancharapalem
VZ005,08:00,MVP Colony,Kancharapalem
VZ005,09:00,MVP Colony,Kancharapalem
VZ005,10:00,MVP Colony,Kancharapalem
VZ005,11:00,MVP Colony,Kancharapalem
VZ005,12:00,MVP Colony,Kancharapalem
VZ005,13:00,MVP Colony,Kancharapalem
VZ005,14:00,MVP Colony,Kancharapalem
VZ005,15:00,MVP Colony,Kancharapalem
VZ005,16:00,MVP Colony,Kancharapalem
VZ005,17:00,MVP Colony,Kancharapalem
VZ005,18:00,MVP Colony,Kancharapalem
VZ005,19:00,MVP Colony,Kancharapalem
VZ005,20:00,MVP Colony,Kancharapalem
VZ005,21:00,MVP Colony,Kancharapalem
VZ005,22:00,MVP Colony,Kancharapalem
VZ006,05:00,PM Palem,Seethammadhara
VZ006,06:00,PM Palem,Seethammadhara
VZ006,07:00,PM Palem,Seethammadhara
VZ006,08:00,PM Palem,Seethammadhara
VZ006,09:00,PM Palem,Seethammadhara
VZ006,10:00,PM Palem,Seethammadhara
VZ006,11:00,PM Palem,Seethammadhara
VZ006,12:00,PM Palem,Seethammadhara
VZ006,13:00,PM Palem,Seethammadhara
VZ006,14:00,PM Palem,Seethammadhara
VZ006,15:00,PM Palem,Seethammadhara
VZ006,16:00,PM Palem,Seethammadhara
VZ006,17:00,PM Palem,Seethammadhara
VZ006,18:00,PM Palem,Seethammadhara
VZ006,19:00,PM Palem,Seethammadhara
VZ006,20:00,PM Palem,Seethammadhara
VZ006,21:00,PM Palem,Seethammadhara
VZ006,22:00,PM Palem,Seethammadhara
VZ007,05:00,Madhurawada,Steel Plant
VZ007,06:00,Madhurawada,Steel Plant
VZ007,07:00,Madhurawada,Steel Plant
VZ007,08:00,Madhurawada,Steel Plant
VZ007,09:00,Madhurawada,Steel Plant
VZ007,10:00,Madhurawada,Steel Plant
