stop_id,stop_name,city
1,RTC Complex,Visakhapatnam
2,Railway Station,Visakhapatnam
3,Old Post Office,Visakhapatnam
4,Jagadamba,Visakhapatnam
5,Maddilapalem,Visakhapatnam
6,MVP Colony,Visakhapatnam
7,PM Palem,Visakhapatnam
8,Madhurawada,Visakhapatnam
9,Rushikonda,Visakhapatnam
10,Bheemili,Visakhapatnam
11,Anandapuram,Visakhapatnam
12,Pendurthi,Visakhapatnam
13,Simhachalam,Visakhapatnam
14,Gopalapatnam,Visakhapatnam
15,NAD Junction,Visakhapatnam
16,Kancharapalem,Visakhapatnam
17,Arilova,Visakhapatnam
18,HB Colony,Visakhapatnam
19,Seethammadhara,Visakhapatnam
20,Gajuwaka,Visakhapatnam
21,Kurmannapalem,Visakhapatnam
22,Steel Plant,Visakhapatnam
23,Parawada,Visakhapatnam
24,Achutapuram,Visakhapatnam
25,Anakapalle,Visakhapatnam
26,Sabbavaram,Visakhapatnam
27,Tagarapuvalasa,Visakhapatnam
28,Duvvada,Visakhapatnam
29,Scindia,Visakhapatnam
30,Pedagantyada,Visakhapatnam
31,Airport,Visakhapatnam
32,Sagar Nagar,Visakhapatnam
33,Endada,Visakhapatnam
34,Marikavalasa,Visakhapatnam
35,Yendada,Visakhapatnam
36,Lawsons Bay,Visakhapatnam
