route_no,source,destination
6H,Simhachalam Hill Top,Old Post Office
10K,RTC Complex,Kailasagiri
12D,RTC Complex,Devarapalli
12K,Kothavalasa,Old Post Office
14,Venkojipalem,Old Post Office
20A,HB Colony,Old Post Office
25D/M,Old Post Office,Midhilapuri Colony
25D/V,Old Post Office,Vambey Colony
25E,Old Post Office,Kommadi
25G,Old Post Office,Ganesh Nagar
25IT,RTC Complex,IT Park
25J,Railway Station,Sevanagar
25K,Old Post Office,Bakkannapalem
25M,Old Post Office,Marikavalasa
25P,Ratnagiri HB Colony,Old Post Office
25R,Railway Station,Gurajada Nagar
25S,Old Post Office,Nagarapalem
28A/P,RTC Complex,Ravalammapalem
28C,RK Beach,Chintalagraharam
28J,RK Beach,Sujatanagar
28K,Kothavalasa,RK Beach
28P,RK Beach,Sabbavaram
28Z/H,Simhachalam Hill Top,Zilla Parishad
36,Collector Office,Mindi
38,RTC Complex,Gajuwaka
38A,RTC Complex,Mindi
38B,RTC Complex,Bhanojithota
38C,RTC Complex,Sundarayya Colony
38D,RTC Complex,Nadupuru Dairy Colony
38H,RTC Complex,Gantyada HB Colony
38IT,Kurmannapalem,IT Park
38J,RTC Complex,Janata Colony
38K,RTC Complex,Steel Plant Sector 5
38M,Marikavalasa,Kurmannapalem
38N,RTC Complex,Nadupuru
38R,Maddilapalem,Rambilli
38T,RTC Complex,Steel Plant Sector 11
38Y,RTC Complex,Duvvada Railway Station
48,Madhavadhara,MN Club
48A,Madhavadhara,Old Post Office
52D,Ravindra Nagar,Old Post Office
52E,Yendada Village,Old Post Office
52S,Sagar Nagar,Old Post Office
55K,Kothavalasa,Scindia
55T,Old Gajuwaka,Tagarapuvalasa
60,Simhachalam,Old Head Post Office
60C,Arilova Colony,Old Head Post Office
60R,RK Beach,Arilova Colony
63,RK Beach,Dibbapalem
65F,Fishing Harbour,Gangavaram
68K,Kothavalasa,RK Beach
69,Arilova Colony,Railway Station
77,Collector Office,Thanam
77T,Collector Office,Thadi
99,Collector Office,Gajuwaka
99K,Collector Office,Kurmannapalem
111,Kurmannapalem,Tagarapuvalasa
211,Railway Station,Vizianagaram
222,RTC Complex,Tagarapuvalasa
222R,Railway Station,Tagarapuvalasa
222V,RTC Complex,Vizianagaram
300C,Chodavaram,RTC Complex
300N,Sabbavaram,RK Beach
311,Scindia,Chodavaram
400,RTC Complex,Kurmannapalem
400C,Arilova,Gajuwaka
400H,Maddilapalem,Gantyada HB Colony
400K,Maddilapalem,Duvvada Railway Station
400N,RTC Complex,Vadacheepurupalli
400S,Maddilapalem,Narava
400Y,Maddilapalem,Yelamanchili
500,RTC Complex,Anakapalle
500A,Maddilapalem,Addaroad
500P,Anakapalle,PM Palem
500Y,RTC Complex,Yelamanchili
540,MVP Complex,Simhachalam
540M,MVP Complex,Gajuwaka
541,Maddilapalem,Kothavalasa
541P,Maddilapalem,Padmanabham
555,RTC Complex,Chodavaram
600,Anakapalle,Scindia
888,Anakapalle,Tagarapuvalasa
900,Maddilapalem,Railway Station
900K,Railway Station,Bheemili
900R,RTC Complex,Rushikonda
900T,RTC Complex,Tagarapuvalasa
999,RTC Complex,Bheemili
